id,title,body,labels,milestone
E1-F1-I1,E1-F1-I1: Draft multi-channel intake specification,"### Summary
Deliver Draft multi-channel intake specification for Multi-channel ticket creation (email, portal, chat widget, API) to meet the documented requirements.

### Scope
- [ ] Architecture brief documents payload, authentication, and throttling requirements for email, portal, chat widget, and API submissions
- [ ] Mapping of inbound metadata to ticket schema is reviewed with product and engineering leads
- [ ] Specification stored in shared knowledge base with version control link
- [ ] Dependencies: None

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Design,priority:P0,area:Ticketing",Week 1
E1-F1-I2,E1-F1-I2: Implement email ingestion pipeline skeleton,"### Summary
Deliver Implement email ingestion pipeline skeleton for Multi-channel ticket creation (email, portal, chat widget, API) to meet the documented requirements.

### Scope
- [ ] IMAP listener command stores raw messages to processing queue with tenant context
- [ ] Basic parser extracts subject, body, sender, attachments into normalized draft ticket structure
- [ ] Happy-path email converted into persisted ticket using ticket field schema
- [ ] Dependencies: E1-F1-I1, E1-F3-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 2
E1-F1-I3,E1-F1-I3: Build chat widget ticket submission endpoint,"### Summary
Deliver Build chat widget ticket submission endpoint for Multi-channel ticket creation (email, portal, chat widget, API) to meet the documented requirements.

### Scope
- [ ] Public endpoint authenticates widget tokens and validates rate limits
- [ ] Payload persisted as ticket with channel metadata and requester contact linking
- [ ] Error responses follow documented contract for widget integration
- [ ] Dependencies: E1-F1-I1, E1-F3-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P1,area:Ticketing",Week 3
E1-F1-I4,E1-F1-I4: Deliver customer portal ticket creation flow,"### Summary
Deliver Deliver customer portal ticket creation flow for Multi-channel ticket creation (email, portal, chat widget, API) to meet the documented requirements.

### Scope
- [ ] Portal form supports required fields, file uploads, and channel tagging
- [ ] Successful submission triggers confirmation screen and email notification template
- [ ] Invalid submissions show inline validation aligned with UX standards
- [ ] Dependencies: E1-F1-I1, E1-F3-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Frontend,priority:P0,area:Ticketing",Week 2
E1-F1-I5,E1-F1-I5: Expose REST API ticket creation endpoint,"### Summary
Deliver Expose REST API ticket creation endpoint for Multi-channel ticket creation (email, portal, chat widget, API) to meet the documented requirements.

### Scope
- [ ] Authenticated POST /api/v1/tickets endpoint validates required fields and custom fields payload
- [ ] API responses include ticket ID, status, and links per JSON:API-style schema
- [ ] Endpoint covered by automated request tests for success and validation failures
- [ ] Dependencies: E1-F1-I1, E1-F3-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 2
E1-F2-I1,E1-F2-I1: Design tenancy data model and middleware,"### Summary
Deliver Design tenancy data model and middleware for Multi-tenant (organization/brand) ticket scoping to meet the documented requirements.

### Scope
- [ ] Diagram shows organization, brand, and ticket relationships with tenancy keys
- [ ] HTTP middleware strategy documented for resolving tenant from domain and auth context
- [ ] Risk assessment covers cross-tenant isolation and data leakage mitigations
- [ ] Dependencies: None

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Design,priority:P0,area:Ticketing",Week 1
E1-F2-I2,E1-F2-I2: Implement tenant resolution middleware,"### Summary
Deliver Implement tenant resolution middleware for Multi-tenant (organization/brand) ticket scoping to meet the documented requirements.

### Scope
- [ ] Middleware sets current tenant in service container based on domain or JWT claims
- [ ] Requests without tenant context return standardized 404/401 responses
- [ ] Unit tests cover domain-based and header-based resolution paths
- [ ] Dependencies: E1-F2-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 2
E1-F2-I3,E1-F2-I3: Configure tenant-aware seeds and settings,"### Summary
Deliver Configure tenant-aware seeds and settings for Multi-tenant (organization/brand) ticket scoping to meet the documented requirements.

### Scope
- [ ] Database seeders provision demo organizations, brands, and default queues isolated per tenant
- [ ] Config cache distinguishes tenant-specific email/SLA settings
- [ ] Documentation explains how to add new tenants via artisan command
- [ ] Dependencies: E1-F2-I2

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P1,area:Ticketing",Week 3
E1-F3-I1,E1-F3-I1: Establish ticket schema and migrations,"### Summary
Deliver Establish ticket schema and migrations for Ticket fields (subject, status, priority, department, category, assignee, tags, custom fields) to meet the documented requirements.

### Scope
- [ ] Migration creates tickets table with required fields and tenant foreign keys
- [ ] Supporting tables for tags, categories, departments, and custom field definitions exist with constraints
- [ ] ERD updated to reflect relationships and shared with team
- [ ] Dependencies: E1-F2-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 1
E1-F3-I2,E1-F3-I2: Build CRUD services for core ticket fields,"### Summary
Deliver Build CRUD services for core ticket fields for Ticket fields (subject, status, priority, department, category, assignee, tags, custom fields) to meet the documented requirements.

### Scope
- [ ] Ticket repository/service layer supports create/update with validation for subject, priority, department, and assignee
- [ ] Tags and categories persist via sync operations with audit logging
- [ ] Feature tests cover create, update, and validation error scenarios
- [ ] Dependencies: E1-F3-I1

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
","epic:E1,type:Backend,priority:P0,area:Ticketing",Week 2
